Date,Username,User tag,Content,Mentions,Reply to
"20.04.2026 19:46:04","samin__","#2997","","","1493754450857169087"
"20.04.2026 19:57:04","samin__","#2997","— Кармен Эшфолд —

По всей видимости Кармен и сама стала своего рода объектом, ведь как только пришло сообщение, той уже стало не по себе, хотя та даже ещë не знала от кого оно

Открыв планшет та закусила губу, смотря на ""не прочитано"" рядом с контактом Брауна. Собравшись с духом, та хотела было открыть его, как вдруг поняла, что это для неë сложнее чем войти в камеру к особо опасному объекту. От осознания этого факта, девушку отпустило, от чего она открыла сообщение, начиная его читать

И вновь язвительные предложения ударили по Кармен, от чего та хотело было уже что-то ответить, однако не успела, ведь пришло новое сообщение с уже более приятным (но всë тем-же) звуком. ЭМИЛИ!

Первая кого Кармен увидела в этом странном месте, ну... не считая того бугая на входе. Кармен улыбнулась, закрыв сообщение Брауна, пометив как ""прочитанное"", а после ответила Эмили:

> Приветик, я тоже как раз свободна. Я тут личную комнатку заполучила, сама ещë не видела, так что приглашаю на новоселье. Давай встретимся у портала

Отправив сообщение, девушка быстренько нашла на карте портал и пошла в его сторону, ведь именно нам и должна быть еë комната как говорил Норман. Да и портал хотя бы одним глазком увидеть хотелось. ЧУДО науки и мечта всех гиков!

<@1405305963375759440>","biok_ymer","1495827908839866500"
"20.04.2026 22:15:55","biok_ymer","#9440","","","1494465206204502199"
"20.04.2026 22:16:20","biok_ymer","#9440","","","1493778306716401825"
"20.04.2026 22:22:04","biok_ymer","#9440","—Парочка—
|-----------------------------------------------------------------------------|
Робот продолжал недовольно сверлить господу взглядом, однако не стал больше снижать дистанцию, оставаясь на том же расстоянии. Девушка же увидев некое спокойствие от своего товарища отступила, встав уже не меж ними, а чуть в боку, говоря:
|-----------------------------------------------------------------------------|

—Ага, верно. Считай он тут из-за меня хехе. А зверачеловек это что? Мутант какой? Не думаю что помест зверя и человека это норма или у вас это норма? Хм, забавно! Ну ты не обижайся, просто любопытно.

|-----------------------------------------------------------------------------|","","1495865620108017885"
"20.04.2026 22:44:05","ktoia","#6622","","","1491048459393040517"
"21.04.2026 14:38:21","ktoia","#6622","— Госпожа —

Госпожа отрицательно покачала головой, чуть дёрнула ушками и ответила:

— Мутанты? А... нет-нет-нет. Что ты. Если объяснять понятным вам языком, то это сравнимо с... мх... с ""расой"". Не совсем обычное дело в мире, но вполне естественное.

— Из-за тебя тут? Не совсем понимаю, что ты имеешь в виду...

Ответив, Эли убедилась, что с этой парочкой можно работать и задумалась, как увести их в более спокойное место, чтобы не разговаривать в коридоре комплекса.","biok_ymer","1495867165830676590"
"21.04.2026 21:43:20","biok_ymer","#9440","","","1473274996221677741"
"21.04.2026 21:47:53","biok_ymer","#9440","—Парочка—
|-----------------------------------------------------------------------------|
Робот хмыкнул, взяв девушку подругу и немного теня в сторону, отчего та пошатнулась, смотря то на него, то на госпожу, а после продолжила:
|-----------------------------------------------------------------------------|

—Ох хехе, похоже мой друг не может увидеть без дела. Ну ладно, мы пойдем пожалуй скрасим вечерок на поляне, если хочешь можешь пойти с нами!

/Робот на данное высказывание недовольно завилял металлическим хвостом, но девушка словно не замечала этого, продолжала лучезарно улыбаться./

|-----------------------------------------------------------------------------|","ktoia","1496112856389910588"
"23.04.2026 20:11:16","ktoia","#6622","— Госпожа —

Эли продолжала наблюдать за взаимодействием робота и девушки. Они достаточно тесно связаны и именно благодаря даме с ними вполне можно спокойно подружиться.

Зверочеловек кивнула и взглянув на робота, ответила:

— Не могу отказаться от такого хорошего предложения. Я здесь недавно, а вы как погляжу, в каком-то плане уже освоились.

Сделав пару шагов в их сторону, Госпожа добавила:

— Думаю, стоит представиться. Я... Морган.

Ожидая услышать их имена, девушка двинулась следом за парочкой.","biok_ymer","1496220950625255617"
