Date,Username,User tag,Content,Mentions,Reply to
"01.07.2026 01:49:37","biok_ymer","#9440","Так как мне впадлу ввести ещё одну ветку, ад на <@815329322881646622> .
Первый зашёл Джон, потом Айрис, потом Виктор(такая пока очередь, после поста ктоя).","ktoia",""
"01.07.2026 03:57:31","ktoia","#6622","|-----------------------------------------------------------------------------|

И вот люди, у каждого из которых было своё представление об Аде, шагнули в портал. Кто-то воображал его бескрайними серными реками и нескончаемыми криками, кто-то ледяной пустотой, где даже отчаяние замерзает. Почти каждый человек при жизни ожидал увидеть место страданий, где души грешников обречены на вечные муки. Сера, огонь, черви, которые никогда не умирают, запах разложения, пропитавший воздух. Так говорили в книгах. Так учили в церквях. Ад - это место, где нет надежды.  

|-----------------------------------------------------------------------------|

Стоило сделать лишь один шаг за пределы портала, как перед глазами раскрылись серые стены. Огромный зал уходил ввысь на несколько этажей, теряясь среди массивных металлических балок, мостиков и технических конструкций. Бегло окинув взглядом окрестности, можно было заметить множество коридоров, уходящих вперёд и скрывающихся за поворотами. Ни одного живого существа не было видно... А в воздухе витал обычный стерильный запах.  

Это и есть Ад?

|-----------------------------------------------------------------------------|

||<@&1496354329676742667> <@&1496354710934917322> <@&1496354420114456710>||","",""
"01.07.2026 11:39:51","samin__","#2997","— Джон —

Парень не ожидал увидеть многого от этого мира, однако то что предстало перед ним заставило его испытать некое удивление. В целом это было ожидаемо, у такого ангела не может не быть странного мира, но... а где это он вообще? Сделав пару шажков в сторону, тот подошёл к стене стуча по той пальцем. Металлический звук не заставил себя долго ждать, от чего парень кивнул сам себе, наблюдая как остальные выходят через портал","ktoia","1521681122545631383"
"01.07.2026 21:13:21","biok_ymer","#9440","—Айрис Янг—
|-----------------------------------------------------------------------------|
Зайдя внутрь девушка была приятно удивлена увидив не маленькую лабораторию посредине адского камня, а большую и просторную исследовательскую, отчего её вновь любопытный взгляд загорелся и та с любопытством стала ходить по комнате осматривая различные изобретения, явно больше интересуясь ими, чем тому, что она попала в ад...
|-----------------------------------------------------------------------------|","samin__","1521797475453767770"
"01.07.2026 21:15:46","biok_ymer","#9440","—Виктор Кольд—
|-----------------------------------------------------------------------------|
Мужик влетев с ноги в портал упал на металлический пол. Отчего пару секунд корчась от боли тот встал и с непониманием оглядываясь проговорил:
|-----------------------------------------------------------------------------|

—Это чё и есть ад? А где пекло? А где демоны? Где сука страдания?

/Парень недовольно забурчел, а после поправив противогаз достал из сумки некий непонятный прибор, включив который стал осматриваться словно попал в аномальную зону из сталкера, то и время останавливаясь и сверяя данные./

|-----------------------------------------------------------------------------|","","1521941800472809482"
"02.07.2026 06:44:13","pizza9832","#9089","__""Кертис""__

*Как только женщина вышла по ту сторону та врезалась в спину <@&1496354420114456710> из-за чего слегка отшатнулась назад, но потом вернула равновесие та заметив чуть впереди <@&1496354710934917322> и <@&1496354329676742667> помахала им рукой с лёгкой улыбкой*

-Прошу прощения здоровяк... а вам привет ребят!

*Затем радость на лице Кертис исчезло, когда та начала осматривать высокотехнологичную местность вокруг себя. Не потому что это бы разочаровывающе, а потому что возвращало ментальное женщину в самых худший момент её жизни... крики...кровь...горы трупов...ржавая планета*

-Ай от этого места у меня слегка что-то не хорошо....нужно отделаться от этих странных ассоциаций из прошлого....аж голова заболела и это не от давления.","",""
"03.07.2026 04:13:47","ktoia","#6622","— Азазель —

Ангел решила не тянуть. Ей, конечно, было бы приятно и весело пококетничать с любимицей Люци после столь долгой разлуки, но всё это можно делать и между делом! Поэтому, после того как <@&1496354817927286844> зашла в портал, Азазель взглянула на Люци, широко улыбнулась, подмигнула и хихикнув, шагнула внутрь...

|-----------------------------------------------------------------------------|

Как только девушка оказалась на той стороне, она глубоко вздохнула, понимая что ""дома"" и спустившись по ступенькам от портала, оглядела всех присутствующих. Итак... Айрис понятно - она сразу принялась осматривать приборы, кои предназначенные именно для этого портала. Все таки эта часть лаборатории была создана для изучения иных миров. <@&1496354710934917322>... Хах... Задумался, пф.. Его взгляд был не таким, как раньше. Отчего? Ангелу было непонятно, обиделся что-ли? На что? <@&1496354420114456710>... что у него в руках? Да и он явно недовольный - это ему лаборатория не понравилась? Ме.. Негодяй, это лучшее, что у неё есть! Кхм, конечно, на втором месте, ведь на первом - Люци. И Кертис.. Её лицо было таким себе, хмм.... О чём-то думает. Ну и пускай!

Закончив осматривать прибывших в Ад, ангел вышла чуть вперед и развернувшись к команде, достаточно громко, чтобы все слышали, начала говорить:

— Итак, вот мы и в **Аду**. Думаю, в первую очередь следует предупредить /она взглянула на <@&1496354420114456710>/ что никаких ""непонятностей"", излучения и прочего, что могло бы вам навредить, в простых коридорах нет. Всё это, если и есть, достаточно хорошо защищено, так что не нужно беспокоиться о своей безопасности~

Снова перевела взгляд на каждого из группы:

— Я вам не запрещаю брать то, что найдёте, если это будет для вас полезно и необходимо. Но... имейте совесть и **ничего не ломайте**, иначе буду бить по ручкам~. Все же это может быть опасно и для вас! Если будут вопросы - подходите с радостью отвечу~.

Решив, что ""команду"" пока можно отпустить в свободное плавание, ангелок скрестила руки за спиной и направилась к той, кто ей сейчас был нужен - к <@&1496354329676742667>.

||<@&1496354817927286844> <@&1496354420114456710> <@&1496354710934917322> - сейчас можете делать абсолютно что хотите. Исследовать лабу, смотреть приборы, искать что-то и т.д. Ответку вам оформлю. Если хотите можете ходить как по одному, так и группками дабы всякое обсуждать.||","",""
"03.07.2026 06:04:26","biok_ymer","#9440","—Люцифер—
|-----------------------------------------------------------------------------|
Дьяволица не долго думая и сама зашла следом за ангелом, предпочитая не вмешиваться в речь и молча смотреть за этим со стороны. Как только она это сделала, та гляну на людей в комнате остановила недовольный взгляд на Викторе, после чего стала следовать за Азазель, что похоже сейчас интересовалось ребенком? И что интересного в коротышке в оборванном платье?
|-----------------------------------------------------------------------------|","ktoia","1522409993196929024"
"03.07.2026 18:38:21","ktoia","#6622","— Азазель —

Азазель подошла к Айрис, остановилась рядом, чуть склонив голову набок и с лёгкой улыбкой наблюдала за её действиями несколько секунд, прежде чем заговорить с мягкой иронией:

— Ну что, чувствуешь себя как дома?","biok_ymer","1522437839688699964"
"04.07.2026 16:16:29","biok_ymer","#9440","—Виктор Кольд—
|-----------------------------------------------------------------------------|
Мужик не особо верил какому-то там демону, что тут безопасно, однако убедившись в этом своим устройством, тот убрал его обратно в сумку, а после услышав о ""свободе"", тот не долго думая направился вглубь, Ищя что-то опасное. Девушка изьяснидось что ТУТ нет, в значит где-то все же опасно.
|-----------------------------------------------------------------------------|","ktoia","1522409993196929024"
