Date,Username,User tag,Content,Mentions,Reply to
"2025-06-25,17:54:58",biokoff,#0,,ktoia,1387285940975833188
"2025-06-25,17:54:59",biokoff,#0,"|----------------------------------------------------------------------------|
По ту сторону разлома был настоящий ад наяву. Повсюду крики людей в агонии, горящий лес, алое как кровь небо и огромный замок в дали, сошедчий из рассказов о вампирах... Что это за мир такой?
|----------------------------------------------------------------------------|",,
"2025-06-25,17:55:05",biokoff,#0,,,
"2025-06-25,20:53:53",samin__,#0,"—Ян Кай—

Как только эта картина предстала перед парнем, его зрачки расширились, а он сам принял боевую стойку

— Не уверен то ли это место, но что-то подобное я уже видел

После этих слов, у него в руках появилось странное копьё, он не носил его с собой, оно просто появилось у неоо в руках, как быдто было там с самого начала.

— Держимся вместе, нам нельзя разделяться

Говоря эти слова, Ян стал осматриваться, ища за что зацепить взгляд. Выход, любые аномалии, монстров, он пытался понять обстановку",,
"2025-06-25,21:03:24",samin__,#0,,,
"2025-06-25,21:18:19",ktoia,#0,"— Сиэль —

Выйдя из портала,Сиэлька убрала волосы с лица раскрывая обзор обоим глазам. Она глубоко вдохнула, наполняя лёгкие кроваво-пепельным воздухом этого мира. Этот запах что-то напомнил ей или возможно Им, но в любом случае это было знакомо. Она огляделась вокруг, её взгляд остановился на пустоте рядом, где появился тёмный сгусток. Спустя пару мгновений этот сгусток принял форму воина которого все теперь видили... видимо того самого о котором говорила Рэди по дороге к порталу. 

Сиэлька посмотрела на команду, и в особенности на Рэди. Её голос был серьёзным.

— Я не думаю, что этот мир возможно исправить... Извини Рэди, но мир без света не сможет мирно существовать... Может быть, это проблема твоего мира?

Она говорила с твёрдой уверенностью. Затем она развернулась и прищурилась, смотря на замок... который скрывался в кровавой дымке.

— Рэди, мы уже тут. Расскажи нам про мир... если конечно на нас не нападут.

Она стояла не отрывая взгляда от замка, её поза выдавала напряжение и сосредоточенность. Тем временем высокая тень положила руку на свой меч, стоя чуть сбоку от девочки и видимо наблюдала за обстановкой готовая к развитию событий.",,
"2025-06-25,21:18:24",ktoia,#0,,,
"2025-06-25,21:52:42",biokoff,#0,"—Исчадие Рэди—
|----------------------------------------------------------------------------|

—Как я и говорила ранее, отсюда я сбежала и это мой мир. Ну или то, что от него осталось... Как видите тьма правит тут, воцоряя ужас для людей и порождая ""кошмары"". ""Кошмары"" — это сущности, созданные тьмой во имя его правления, поражённая и питающая страхами людей, отчего вы и видите мир таким, какой отражает тревогу во всех её проявлениях... 

-Я люблю свой мир ибо я как посланница тьмы должна продвигать его веру в массы но... Ах, этот мир давно уже считается уничтоженым, я не уверен что вы сможете его изменить, а лишь стереть... Может просто вернёмся и скажем ведьме закрыть разлом?

|----------------------------------------------------------------------------|
Девочка впервые за все время говорила серьезно и без улыбки, что заставляло воспринято её слова серьезно. Даже зная что её мир это ад, она хотела оставить его таким, какой он есть, а не пытаться изменить. Что заставило ребенка так сильно сломать свой оптимизм по поводу своего же мира?
|----------------------------------------------------------------------------|",ktoia,1387497152904958154
"2025-06-25,21:54:07",biokoff,#0,"|----------------------------------------------------------------------------|
По округе бродило множество ""людей"", что горели заживо. Это больше не люди, нет... Это ходячие мертвецы. Похоже все они пока не замечали нашу группу, но вот злобное ощущение что за ними наблюдают, никак не выходила из головы Яна.
|----------------------------------------------------------------------------|",samin__,1387491003161907292
"2025-06-26,00:38:53",ktoia,#0,"— Сиэль —

Сиэлька немного помолчав продолжила говорить с той же серьёзностью, сначала взглянув на воина, а затем на замок вдали.

— А что за вера в твоём мире? Кою ты продвигала...

— Значит, ваш бог тьмы наверное живёт там?... Я бы хотела посмотреть...

Она сказала это с лёгкой улыбкой, но её глаза оставались серьёзными. Она стояла, не отрывая взгляда от замка. Может это звучало действительно глупо, но Они... да и Сиэль не упустили бы возможность посмотреть на чужого бога тьмы...",biokoff,1387505804420190429
