Date,Username,User tag,Content,Mentions,Reply to
"2026-04-20,16:55:43",samin__,#0,,,1494262418312925264
"2026-04-20,17:14:20",samin__,#0,"— Лойд Фронтера —

Парень кивнул на заявление ""бедствия"", понимая её чувства, ведь и ему было о ком беспокоиться. Не из привязанности, скорее от ответственности, что сам на себя и взволил. Решил не игнорировать вопрос, парень зашёл из далека, чтобы дать себе время на раздумья:

— Про полуангелов не уверен, но со слов небесной так и есть. Странно, не спорю, тем более понимая что церковь двигает иную повесточку, но пока что на это можно забить ибо этот вопрос нам ничего не даёт. Меня смущает только то, что мы на материке зверолюдей и если среди них есть группировка, которая хочет воскресить прошлую - она точно скрывается где-то здесь...

Подняв взгляд на потолок, парень занёс руки за голову, уставившись в перекрытия:

— Помнишь глава говорила что ёкаи слышат если о них говорить? Судя по тому сколько мы всего уже сделали, они с нас глаз не сводят. Да и готов поспорить прошлая тоже так или иначе может влиять на мир, так что может слышать всё, о чём мы говорим, поэтому важных сведений не говорим

После парень опустил взгляд на Сору и сказал в кольцо:

> Рация: не уверен на сколько, но через это будет сказать безопаснее. Против нас добрая половина мира, а некоторые даже знают кого им нужно ""убрать"" чтобы пробудить прошлую королеву Ёкаев. А вот союзнички шаткие... так что придётся как-то выкручиваться. Лаура пока что на нашей стороне, но на сколько долго, не уверен. Культисты пока что связаны по рукам и ногам. Им нельзя убивать, от чего там и относительно безопасно. Скажем... небесная немного их припугнула. Уничтожить их она не может из-за законов мира, но им об этом знать не обязательно. А вот с остальными будут сложности... большие сложности

> Кстати, прошлую запечатали лет 300 назад или того больше. Откуда у тебя мечик вообще взялся?


Мыслил парень не меняясь в лице, чтобы со стороны не было понятно, что идёт разговор, от чего по завершению кивнул и сказал:

— Передавай привет Айрис. Да и остальным тоже. Кроме Адама, его можешь просто пнуть...

<@815329322881646622>",ktoia#0,samin__#0
"2026-04-20,17:16:46",samin__,#0,,,1494102642564137011
"2026-04-20,17:17:00",samin__,#0,,,1494242749673639936
"2026-04-20,17:23:44",samin__,#0,"— Бибон —

Бобер неподдельно удивился, что девочка из другого мира узнала в нём царя леса, коим он был в прошлом мире, пока Лойд его НАСИЛЬНО не уменьшил. Вторая часть фразы была конечно странной, однако поняв что нужно продолжать работу, Бибон поднял лапку, собираясь указать в рандомную сторону, чтобы от него отвяли, однако тут в него прилетела ОПЛЕВУХА.

Стоп?! ЕГО НАЧАЛИ ДУШИТЬ!!! Так это был хитрый план по его убийству?! Заболтать, а после свернуть шею?! Моментально изменив мордашку на КРАЙНЕ недовольную, бобер со всего размаху какого мог прыгнул спиной к ближайшуму дереву, чтобы прижучить того, что пытался его задушить, попутно крича, выпуская последний оставшийся воздух:

— БИБОН!!! [* * *    * * * * *   * * * *   * * * * *]

||<@815329322881646622> <@1405305963375759440> ||","biok_ymer#0, ktoia#0",
"2026-04-20,19:31:33",ktoia,#0,"— Сора Райдэн —

Слушая Лойда, мечница скрестила руки перед собой и откинулась на спинку скамьи. Она задумалась о возможных группировках зверолюдей, особенно среди авантюристов, но ничего подходящего не вспомнила и просто приняла информацию к сведению.

— Уверена, за тобой следят сверху и снизу и темболее те, кто живёт на этой земле. Даже я бы удивилась, если бы после собрания королей к тебе бы не приставили наблюдателей... удивительно что с этой деревней еще ничего не сделали. 

Она пожала плечами.

— Стоит задуматься о своём окружении...

Положила руки на колени, мельком глянула на барную стойку... хочестя пойти выпить, но вместо этого активировала кольцо.

> Триггер: Хорошо. Ты выиграл нам время и нашёл сомнительных, но союзников. Хоть земля под ногами есть.

Сора покосилась на ножны, затем снова на Лойда.

> Триггер: Этот меч был в семье... скажем так, ""семейной реликвией"". У всех же семей такие есть? Ну, вот и у меня была. После того как семьи не стало, он остался на континенте без присмотра - и на удивление, его даже не украли. Когда я отомстила - забрала то что мне причиталось, включая меч и покинула континент, больше не возвращаясь. 

> В общем предполагаю что мама забрала его с собой, покидая мир ёкаев...  Слушай... Меч ведь не мог взяться из ниоткуда. Не думаю, что прошлая его сделала. Значит существует кузнец, способный создать **разумное** оружие, убивающее ёкаев. Нынешняя сказала мне, что прошлую убить не получится - верить или нет, без разницы. Пытаться сейчас - почти самоубийство. Но думаю пока что стоит найти того, кто создал это оружие. Уверена, что это был не обычный человек: либо ёкай, либо... ... это существо давно в преисподней. Найти его в теории можно с помощью разумности клинка. В общем, что скажешь? Если идея имеет смысл, займусь поисками после возвращения из междумирья. Всё равно у нас пока есть безопасное время.

Закончив, девушка кивнула и ответила вслух:

— Конечно передам привет... и Адаму тоже. Кстати, а где твой голубоволосый?",samin__#0,samin__#0
"2026-04-20,19:48:59",ktoia,#0,"— Лина —

Лина ждала, когда огромный БОБЕР поделится заветными координатами еды, главное чтобы кладем оказался не уродом. Но когда акула влетела ему в спину, Лина от неожиданности подпрыгнула и отшатнулась назад. Видя нешуточную перепалку и понимая, что Лилит собирается обезглавить бедолагу, она сначала хотела помочь бобру... но потом вспомнила, что сама хочет есть. И слегка замешкалась, наблюдая за картиной.

Однако, увидев как бедного бобра душат, она замахала руками и стала осторожно приближаться к перепалке - но не слишком близко, чтобы самой не получить.

Сделав несколько маленьких шажков вперёд, она достаточно громко сказала:

— Але! АЛЕ! У НАС ТУТ ДОГОВОРНИЧЕК БЫЛ!!! Эй! Стоп-стоп, хватит!!!!

Её НАВЕРНОЕ конечно никто бы не слушал - кто она такая, чтобы её слушались? Ничего не оставалось, кроме как попросить настойчивее прекратить пускать бобра на мясо. Да и бобру надо было дать успокоиться.

— Так, нет-нет! Просто **ЗАМРИТЕ**!!! БРЕЙК, БРЕЙК!

И бобёр и Лилит ни с того ни с сего застыли в том положении котором сейчас были - их конечности перестали слушаться.

||<@1405305963375759440>||","biok_ymer#0, samin__#0",samin__#0
"2026-04-20,21:41:43",biok_ymer,#0,"—Лиллит—
|-----------------------------------------------------------------------------|
Рыбка хоть и получила сильно по голове от Бобра, она хотела  продолжить настойчиво душить, ведь рано или поздно бы у него сдали силы, отчего стоило подражать как вдруг... Она перестала чувствовать тело!? Она кубереи упала на землю, не в силах шалахнуться и смотря в сторону бобра, что не могла тронуть, она проговорила(не думая, что это дело рук Лины):
|-----------------------------------------------------------------------------|

—Похоже это зверьё магическое какое... Не могу шевелиться, беги отсюда иначе он нас обоих сожрёт.

|-----------------------------------------------------------------------------|",ktoia#0,ktoia#0
"2026-04-21,13:34:59",samin__,#0,"— Лойд Фронтера —

И тут Лойда переиграли. Он и думать забыл про то, что за ним следят. Слишком много всего навалилось, а теперь есть относительно свободное время чтобы это уладить. Слежка... вряд ли на него обращено столько внимания чтобы каждый материк следил за ним, однако небожители точно что-то вынюхивали, но с ними вопрос уже считай решён. Кай точно кротко наблюдает и получает информацию. Не удивлюсь если он уже сделал систему связи, которую я ему предложил на собрании королев. А вот остальные... вряд ли. Если бы кто-то наблюдал, Лаура бы испепелила его при нашем разговоре... значит церковники пока что про меня не прознали, а это сейчас самое важное насущное. В прошлом мире церкви как таковой не было, а тут она может оказаться куда хуже...

Дальше слушая Сору, парень удивился её прозорливости. Неужели она умеет **думать**!? Это было удивительно, учитывая что она вытворяла вчера?! Кузнец... и меч как семейная реликвия. Звучит как объявление тому, как родители Соры вырвались в мир смертных, однако видно ещё несколько несостыковок. Тем более что прошлая по сути своей бесмертна. Убивать её бессмысленно и опасно для самого мира, так что придётся лучше прописывать изменение. Мир пока что перестал вредить мне, ведь я вписал себя как того, кто как раз хочет идти по сюжету, однако на сколько долго это продлится - вопрос со звёздочкой. Да и я не уверен что прошлая - зло. Всё указывает на это, однако по законам всех возможных жанров это может оказаться заманухой. От решения зависит множество судеб... сложно...",ktoia#0,ktoia#0
"2026-04-21,13:35:00",samin__,#0,"Вновь отклонившись на стуле, парень проговорил:

> Рация: Понял, значит попробуем найти создателя мечика. Думаю он сможет пролить свет на происходящее, а быть может и ""пробудет"" меч. И... он разумный значит... занятно конечно, но на сколько понимаю он тебе не отвечает ||иначе бы отговорил выпускать ёкая||. В таком случае так и поступим, а я пока что разберусь с насущными проблемами. Понять бы как ёкаи и грешники вышли в мир без твоего мечика... хм... думаю как разойдёмся поспрашиваю у местных

После парень покосился за барную стойку, за которой стоял шут и проговорил:

— На счёт слежки это ты хорошо подметила. За мной и вправду следят, а я их даже не замечаю. Ксавьер остался в городе ""приглядывает"" за Юки, от чего спокойнее не становится. Нужно закончить здесь и вернуться к ним, пока что план такой. Там ещё Бибон лес валит. Пока нет места для строительства государства, нужно облагораживать это местечко. Ещё и шахта на мою голову... и **заказ** от одной демоници, что называет себя ангелом

/Голова парня повернулась на собеседницу/
— В таком случае мы закончили? Просто ты так настаивала на разговоре, что я уж подумал что ты меня прибить хочешь

Сказа это, уголок губы Лойда приподнялся",,
