Date,Username,User tag,Content,Mentions,Reply to
"30.08.2026 15:01:49","samin__","#2997","— Лойд Фронтера —

Привет","",""
"30.08.2026 15:01:51","Razlom","#5694","Не смог отправить пост через вебхук: Discord API error 404: {""message"": ""Unknown Channel"", ""code"": 10003}","","1543591573558796340"
"30.08.2026 15:02:06","samin__","#2997","— Лойд Фронтера —

Привет","",""
"30.08.2026 15:02:08","Razlom","#5694","Не смог отправить пост через вебхук: Discord API error 404: {""message"": ""Unknown Channel"", ""code"": 10003}","","1543591644001996850"
"31.08.2026 14:27:44","Лойд Фронтера","#0000","Тут идёт текст вашего ролевого поста.
Переносы строк через Shift+Enter работают отлично!","",""
"31.08.2026 15:24:00","samin__","#2997","— Лойд Фронтера —

Тест","",""
"31.08.2026 15:24:17","samin__","#2997","— Лойд Фронтера —

Тест","",""
"31.08.2026 15:24:26","samin__","#2997","— Лойд Фронтера —

Тест","",""
"31.08.2026 15:25:13","Лойд Фронтера","#0000","Тест","",""
"03.09.2026 17:18:26","Лойд Фронтера","#0000","Ля прикол","",""
"03.09.2026 21:12:06","Razlom","#5694","","",""
