Date,Username,User tag,Content,Mentions,Reply to
"2025-05-23,13:19:56",biokoff,#0,"—Ведьма—
|----------------------------------------------------------------------------|
И вновь пустота... Снова и снова.. Снова, снова, СНОВА, СНОВА, СНОВА ЭТА ПУСТОТА. Девушка впала в кому? Нет, похоже мир вокруг стал меняться, а её сознание не было готово к этому. Дерьмого. Неужто сейчас контроль вернётся ""ей""? Хах, похоже придется начинаться сначало...

Девушка резко, словно увидев кошмар открыла глаза. Она лежала в сугробе... Хах, похоже девушку вечно пытались заставить промокнуть... Вставая на ноги девушка обнаружила что ""порча"" пропала с её тела. Неужто... Нет, девушка не понимала. Сколько прошло времени и где она? А также где протокол? Ничего не понимая, ведьма стала осматривать округу, время от времени почесывая свою больную голову, что то и дело зудела, напоминая о потере памяти. Что же и вновь девушка была одна...
|----------------------------------------------------------------------------|",,
"2025-05-23,13:56:08",biokoff,#0,"—Глюк—
|----------------------------------------------------------------------------|
Судорожный шаг в неизвестность и вот парень уже падает с многоэтажки прямо в бездну, как вдруг... Он приземляется прямо в снег? Откуда снег посреди лета!? Мужчина непонимая немного покоречилсч в сугробе, после вставая с земли обомлел... Радужное небо, что словно сошло с холстов картины. Это и есть Рай? Тогда... ""ПОЧЕМЯ Я ДО СИХ ПОР УРОД!?"" - подумал мужчина посмотрч на свои руки, что то и дело искажались, словно на старой пленке. Что же, видимо даже бог обожает черный юмор... Ну ""в эту игру можно играть и в паре"" - подумал парень, после чего шатаясь стал осматривать округу, то и дело корёчась словно мучаясь от ""лагов"".
|----------------------------------------------------------------------------|",,
"2025-05-24,08:39:48",dominator_vi,#0,"-Re:Sans-

*Тьма... А во тьме два сияющих огонька... Сотканых воедино...*

*Открыв глаз, он еще долгое время глядел на небо, через ветви деревьев*

—Снова...

*Произнес он с некой грустью и через пару секунд, он встал на ноги с широкой улыбкой на лице*

—Снова! И снова я в новом неизвестном мне мире! АХАХАХАХАХА!
—.......
—Ну ладно. Я уже начинаю привыкать. Интересно, что ждет меня здесь и каких интересных личностей мне предстоит встретить?

*Сказал он начав путь в неизветном ему направлении*",,
"2025-05-24,10:09:20",biokoff,#0,"—Ведьма—
|----------------------------------------------------------------------------|
Спустя примерно несколько километров молчаливого путишествия, девушка с усталостью упала на сугроб, видимо такая погода не очень то и подходила для мага в балахоне и с посохом. Но тут словно небеса услышав её желание хоть что-то найти, раздался хруст ветки, посмотрч вслед которого стоял уже знакомый ей скелет. Хоть девушка особо и не помнила откуда она его знает. Данные потери в памяти заставили ужаснуться девушку и та попыталась скрыться в снегу, дабы скелет не заметил её
|----------------------------------------------------------------------------|",dominator_vi,1375709853867311197
"2025-05-24,11:04:09",dominator_vi,#0,"-Re:Sans-

*Пройдя довольно большое растояние*

—И как долго мне здесь бродить? Ууээээ... Этот лес кажется бесконечным...  

*Через еще некоторое расстояние*

—Хех...*ухмыльнулся*
—Ээээй. Давай вылазь. Я знаю, что ты здесь. Либо сам вылезай, либо я сам тебя вытащу...

*Зловещие нити потянулись в сторону места, где лежала Ведьма*",biokoff,1375732386268057620
"2025-05-24,12:50:27",biokoff,#0,"—Ведьма—
|----------------------------------------------------------------------------|
Девушка хотело было дальн притворяться сугробом, но нити что начали окружать сугроб напрягли её и та высказала оттуда, крича:
|----------------------------------------------------------------------------|

—Прошу не убивай! Я хорошая волшебница!

|----------------------------------------------------------------------------|
Девушка не знала этого скелета, но отчего то он казался ей знакомым, отчего она и решила рискнуть и не прятаться.
|----------------------------------------------------------------------------|",dominator_vi,1375746181669453875
"2025-05-24,12:58:39",ktoia,#0,"—Сиэль—
|----------------------------------------------------------------------------|
Стоя перед разбитым зеркалом, Сиэль ощущала странное сжатие в груди. Осколки, застывшие в раме, отражали её лицо - но не цельное, а раздробленное, словно сама её суть была расколота на части. Что-то важное... что-то, что она должна была помнить... Зеркало явно напоминало ей об этом. Но что именно?  
Она моргнула.  
В тот же миг перед глазами пронеслись образы - обрывки воспоминаний, чужих или своих, она уже и сама не понимала. Тени, лица, голоса, смех, крики... Всё как всегда накатывало волной готовой захлестнуть её сознание. Но прежде чем картина сложилась в нечто цельное - Чёрный штиль.

Резкий и Безмолвный.  

Как будто кто-то взял и оборвал все нити, все узоры мыслей. Она стояла так, может, минуту... а может и пять. Время будто перестало иметь значение. И вдруг - лёгкий ветерок. Холодок, пробежавший по ногам.  

Она открыла глаза. Лес. Густой, снежный, еловый. Ветви, отягощённые снегом склонялись к земле, а между ними пробивались лучи... нет, не солнца. Неба.

Сиэль медленно подняла голову, и её губы чуть дрогнули.  

— Небо?...

Это было... необычно. Настолько, что даже ""другие"" внутри неё молчали, не предлагая своих привычных подсказок.

""Небо... Красивое."" - подумала она.  

Сиэль огляделась. Кругом - только лес, тишина и холодный воздух, наполненный запахом хвои. Ни звука, ни следа людей.  
""Почему я не перед зеркалом?"" 
Возможно, это были чужие воспоминания. А может, что-то иное... Но размышлять было некогда. Нужно идти. И Сиэль, маленькая, почти беззащитная, одетая в черный балахон в этом белом безмолвии, сделала шаг вперёд. В надежде найти кого-то. Или быть может что-то, что объяснит ей, где она и почему небо... такое живое.
|----------------------------------------------------------------------------|",,
"2025-05-24,13:30:23",dominator_vi,#0,"-Re:Sans-

*Нити замерли*
—Правильный выбор. И так скажи ка мне, зачем ты там пряталась? Хотела напасть на меня? Ахахаха... Ладно шучу, вижу ты на такое не способна. Но всё же, что тут забыло? В этой глуши?
*Нити продолжили своё движение, но гораздо медленее*",biokoff,1375772930721710150
"2025-05-24,13:50:01",biokoff,#0,"—Ведьма—
|----------------------------------------------------------------------------|
Девчушка чуть отряхиваясь от снега оценивающе посмотрела на монстра. Похоже тот не был враждебен и видимо головная боль по поводу его все равно не даст ответов, отчего девушка выдожнула и улыбнулась доброй улыбкой, говоря:
|----------------------------------------------------------------------------|

—Я сама незнаю. Недавно очнулась тут, хотя последнее место в коем я была это дубовый лес и там не было снега... Кхм, а можно и мне задать вопрос? Вы не видели тут маленькую девочку? Она была со мной, до всего инцидента... Ну по крайней мере, я помню что мы были вместе, я хотела ей помочь выбраться из леса.... Хотя наверное помощь уже нужна мне...

|----------------------------------------------------------------------------|",dominator_vi,1375782981884579950
"2025-05-24,13:57:53",biokoff,#0,"—Глюк—
|----------------------------------------------------------------------------|
К счастью девочки или нет ей послышалось далеке еле слышеммое ""БЛЯТЬ!"", после чего в стороне от неё раздался грохот, словно оползень пронесся.

Прийдя на место происшествия, девочка обнаружила огромную гору снега, из которой барахтаясь и с трудом выкоропалсч парнишка не имеющего лица. Он весь дрожал и искажался. Словно снег заставил его не только замёрзнуть, но и навести помехи на свое окружение.

Судорожно отряхиваясь от снега, парень хотел было снова сматюкнуться как заметил девочку, отчего на мгновение обомлел, а после как закричав на всю округу:
|----------------------------------------------------------------------------|

—ЕМА, ЧЕЛОВЕК! Я думал в этом лесу есть только белки... Ну и чёртовы деревья со снегом... Бесконечный лес! Ты откуда здесь? Местная? Это рай? Если это рай, то ты ангел? Добей меня пожалуйста! Я не хочу жить с этим лицом!!!!

|----------------------------------------------------------------------------|
Парень казался одновременно удивлённым и сильно патким на эмоции. Словно он тут уже многие года ходил, хоть это и явно было утриранного парнем. Но он тут явно побольше девчушки.
|----------------------------------------------------------------------------|",ktoia,1375774996516966430
