Date,Username,User tag,Content,Mentions,Reply to
"2025-11-29,01:37:47",_kambot,#0,,,1434919238241615883
"2025-11-29,01:37:58",_kambot,#0,.,,
"2025-12-01,14:45:47",_kambot,#0,"**Во время взбучки, Адама затолкали в смолянистую лужу. Он стал в ней утопать словно в болоте и медленно мог наблюдать за тем, как его смолянистый спутник активно сражался с Мантикорой... Но все это уже позади. Неизвестно, сколько времени Адам находился в ""междумирье"", окруженный лишь смолянистым бескрайним простором тьмы. В тот промежуток он чувствовал многие эмоции, что может быть даже и не присущны его личности. В голове прокручивались какие то воспоминания, быть может даже не его. Но так или иначе, спустя время, Адам вновь почувствовал окружающий мир. Холод, влагу и тревожность в воздухе. Если мужчина откроет глаза и приподнимится, то поймет, что находится на половину в воде, что на вид вся черная, холодная и непроглядная, а вокруг же бескрайний океан вдаль, а вдоль него простирается пляж. Такой же серый и унылый. Однако на всем побережье лежат неизвестные смолянистые сгустки, что иногда дергаются. Ну а если же парень поднимет голову, то помимо пасмурного неба, он увидит точечно разбитые по всему небесному полотну темные силуэты. Добро пожаловать в ""Мир за пространством"".**",,
"2025-12-01,16:08:27",thekotguy,#0,"— Адам —

***Оказавшись в луже, мужчина запаниковал, чувствуя, как он проваливается всё ниже и ниже в бездонную пучину, но все усложнялось спектром чувств, он сбегал, бросал своего товарища, но также и понимал, что возможно это единственный способ выжить в такой ситуации.***

***Мозговой штурм продолжался  ещё долго, в какой-то момент Адам потерял нить повествования в собственных мыслях, а были ли это вообще ЕГО мысли? Из этой паутины его вытащило мерзкое чувство холода, костюм не работает, никакой терморегуляции, холодная вода, хладный морской бриз, всё так и кричит, что оставаться в таком положении не лучший вариант, Адам обнаружил себя лежа на спине в воде, понятное дело, что ничего вокруг не имело никаких подсказок о том, где он находился или как туда попал. Аккуратно поднявшись и оглядевшись, легче не стало, чёрные и холодные цвета, неизвестные биомассы и чёрт его знает что ещё, заставляли сомневаться в реальности происходящего, но стремительно падающая температура вынуждала начать двигаться, а не думать, и вот мужчина постепенно добрался до берега и заметил странные силуэты в воздухе, связь с реальностью снова потеряна, но думать об этом не имело особого смысла. Вокруг ни души, ничего полезного, как и выхода, от чего единственным полезным вариантом было покинуть берег, в противоположном от него направлении***",_kambot,1445018036422840470
"2025-12-01,23:02:01",_kambot,#0,"**Стоило мужчине только задернуть голову на небо и увидеть силуэты, как один из них испарился в тот же миг, а Адам же почувствовал на мгновенье небольшое покалывание. После этого парень начал свое движение в противоположную сторону от побережья, куда то в неизвестную даль. Адам только начинал свой путь и проделал не так много шагов, но пейзаж уже весьма сильно изменился, как только мужчина взабрался на пригорок, что утаивал берег от внешнего мира. Перед Адамом лицезрела весьма интересная картина. Вроде как поле, но не простое. По всему простору растирались приличного размера лужи, все такие же из смолы, да и земля вся была не лучше. Вязкая и черная. и лишь изредка торчащие из нее камни. В воздухе витали частички смолы, что исходила из булькающих луж. Вступит ли <@&1414716054256488589> на эти земли?**",thekotguy,1445038840732581929
"2025-12-01,23:17:40",thekotguy,#0,"— Адам —

*Адаму не в первый раз приходится видеть разные миры, но происходящее здесь не только нарушало всякие известные законы мироздания, так ещё и выглядело, как бред сумасшедшего.. Ощутив странное взаимодействие с этим миром, Адаму хотелось выразить недовольство, но теперь даже Мики с ним не было, гнетущее одиночество стало давить, на, уже не защищенный, разум мужчины. Стоя не пригорке, так сразу и не скажешь, враждебен ли этот мир к нему, возможно он уже погиб, когда странная фигура в воздухе исчезла? Пытаясь выгнать гнетущие мысли из головы, мужчина просто пошел вперёд, через странное ""болото"", огибая лужи*",_kambot,1445142917927800942
"2025-12-02,01:24:13",_kambot,#0,"**Адам в своем темпе шел по болотам, огибая смолу то тут, то там. Все это место с каждым шагом казалось ему все страннее и страннее. Такого просто.. не может представить себе человек. А точно ли Адам не умер? Жив ли он на деле? быть может.. он уже давно скончался от яда Мантикоры, а лужа это лишь его предсмертный бред? А стоило ли начинать вести дела с Тварью? Что если она заманила его просто сюда как легкую добычу? Должен ли был Адам вообще появляться? Все эти мысли посещали мужчину на протяжении пути и не выходили из его головы, все больше нагнетая обстановку. Свою роль в тревожности сыграла и погода, которая стала еще пасмурнее, будто вот вот грянет ливень, однако сколько бы Адам не ждал, он все никак не начинался. Тем временем миновали и болотно-смолянистые просторы. Неизвестно сколько так шел <@&1414716054256488589> , но явно не быстро, однако на его пути вновь предстала новая картина... более... теплая? знакомая? но в то же время все такая же нагнетающая и страшная... смесь добра и зла в одном флаконе. Лес. Несчастный, облезлый и хмурый. Многие деревья на первых линиях и вовсе мертвые, а между ними натянута смолянная паутина. Хвою имели деревья лишь вдали. Туман так же стал сильнее, однако... среди глухой тишины.. слышалось карканье вороны... неужели хоть какое то живое существо, что может быть знакомо Адаму тут оказалось?**",thekotguy,1445146856199032994
"2025-12-02,02:43:39",thekotguy,#0,"— Адам —

*Странные сюрреалистичные образы вокруг всё больше напоминали какой-то художественный образ для смерти или какого-то святилища, а внезапное карканье вороны лишь усилило ощущение метафоры от происходящего, гнёт становился невыносимым, как и эта обволакивающая всё вокруг - тишина, настолько тихо, что собственный звон в ушах стал давить на мозг, это было слишком тяжело, от чего Адам не выдержал и стал говорить сам собой*

`Неужели смерть действительно  похожа на эти дурацкие аллегории на путь-дорогу? Дали бы хоть чертика в спутники, поБЕСил бы меня что-ли.. Хе-хе~... Ну вы поняли?`

*Адам стал угарать над своим собственным отчаянным положении,  прикрывая лицо рукой от стыда, но стендап не был окончен..*

`Вот теперь это место похоже на Ад гораздо больше, целую вечность сгорать от стыда из-за своих собственных шуток..`",_kambot,1445178707328106627
"2025-12-02,02:47:13",_kambot,#0,"***И вот уже Адам начал выпускать себя. Впервые за время пребывания здесь он начал говорить. плохой это или хороший знак - еще предстоит узнать. Однако стоило мужчине только закончить говорить и продолжить смотреть на лесной массив, как вдруг... на самом близком к парню дереву воистину подлетела ворона и села на него, продолжая издавать характерные для птицы звуки и лишь изредко посматривать на <@&1414716054256488589> , делая свои пташьи дела.***",thekotguy,1445198696429125717
"2025-12-02,13:05:39",thekotguy,#0,"— Адам —

`Это действительно ворона.. Выходит я на Земле? Это неожиданно, значит в теории должны быть и люди`

*Кивнув самому себе, Адам стал двигаться сквозь чащу, выискивая взглядом любые признаки цивилизации*",_kambot,1445199593104081069
