Date,Username,User tag,Content,Mentions,Reply to
"2026-06-30,14:57:24",samin__,#0,прикол,,
"2026-06-30,14:59:10",Razlom,#5694,,,
"2026-06-30,15:07:36",samin__,#0,"Это
просто",,
"2026-06-30,15:07:38",samin__,#0,ну...,,
"2026-06-30,15:07:41",samin__,#0,прикод,,
"2026-06-30,15:07:51",samin__,#0,"— Ксавьер Азрахан и Бригада —

> Не удивлён что в чём-то странном и нетипичном замешен мой господин, а если учитывать что в деле ещё и эта бестия, в тех землях и правда могло что-то измениться

Не поняв смятения барда, парень лишь ответил на её слова, не меняясь в лице:

— В таком случае не задерживаю, лучше дать лишние секунды народу на сборы, а не на обсуждение всего этого...

Договорив, парень повернулся в сторону диких землей, думая как бы проверить свою теорию

В это время страсти развивались с огромной скоростью. Ещё бы немного и завязалась бы ~~избиение ~~ драка. Однако девочка вмешалась в это всё, на что хомяк недовольно покосился на ту, надув щёки. Бобёр же ничего не понимая поглядел на великаншу, почесав репу:

— Бибон! Бо-бо-бибон?! [Да! Можешь приказать кукле прихлопнуть ту с лирой?!]

Гусеничка же смотря на всё это хлопала глазами, не особо и понимая что произошло и почему её ухажёр заслужил такое отношение, от чего так-же обозлилась на Барда, сверля ту взглядом, однако услышав слова бобра прифигела, говоря тому:

— Колокольчик! [Эй... почему бы не решить всё... мирно?]",,
"2026-06-30,15:14:58",samin__,#0,Это типа ответ на пост,,samin__#0
"2026-06-30,15:16:23",samin__,#0,<@478922861554302997>,samin__#0,
"2026-06-30,15:16:29",samin__,#0,<@&1521485247005593634>,,
"2026-06-30,17:37:01",samin__,#0,"— Лойд Фронтера —

На спокойствие парень ответил спокойствием, развернувшись на стуле к ""железной коже"" говоря тому:

— Ты про Джереми? Ай... про того с железными руками? Не... этот меня не тронет. /осознание/ хотя если узнает что я с вами... пф... мда... удивлён что тебя никто не заметил. Ладно уж я, но Канеки... хм... ты типа камуфляжник, понял

Потянувшись на стуле, парень наклонил голову на бок:

— Ну тогда сопровождай меня и впредь, только смотри не попадись никому, иначе и подохнуть можешь

> Хоть и культист, но спас мне жизнь, так что полезен, это уж точно",,
